problem,dim,seed,init_method,opt_method,best_target,best_eval,best_n_iter,best_delta,init_time,opt_time
bbob_f001_i01_d02,2,3,random,ga,79.48,85.96164004735863,100,6.481640047358624,0.002000093460083008,0.15555953979492188
bbob_f001_i01_d02,2,3,random,de,79.48,85.66407191840598,100,6.1840719184059765,0.002000093460083008,0.06827116012573242
bbob_f001_i01_d02,2,3,random,pso,79.48,80.36296856002582,100,0.8829685600258159,0.002000093460083008,0.05191946029663086
bbob_f001_i01_d02,2,3,random,gwo,79.48,79.48000000399523,72,3.995225483777176e-09,0.002000093460083008,0.0833125114440918
bbob_f001_i01_d02,2,3,random,egwo,79.48,85.59205321125876,100,6.112053211258754,0.002000093460083008,0.048067331314086914
bbob_f001_i01_d02,2,3,lhs,ga,79.48,79.48072589288425,100,0.0007258928842475143,0.11948752403259277,0.15480661392211914
bbob_f001_i01_d02,2,3,lhs,de,79.48,79.48034561385148,100,0.00034561385147924284,0.11948752403259277,0.06856918334960938
bbob_f001_i01_d02,2,3,lhs,pso,79.48,79.480000090475,47,9.047499816006166e-08,0.11948752403259277,0.02445673942565918
bbob_f001_i01_d02,2,3,lhs,gwo,79.48,79.48000004442558,54,4.442557610673248e-08,0.11948752403259277,0.0655369758605957
bbob_f001_i01_d02,2,3,lhs,egwo,79.48,79.48000003845199,20,3.8451986483778455e-08,0.11948752403259277,0.011452674865722656
bbob_f001_i01_d02,2,3,sobol,ga,79.48,79.48022102633634,100,0.0002210263363338072,0.009010791778564453,0.15946459770202637
bbob_f001_i01_d02,2,3,sobol,de,79.48,79.48077023396951,100,0.0007702339695043747,0.009010791778564453,0.0674893856048584
bbob_f001_i01_d02,2,3,sobol,pso,79.48,79.48000006882452,47,6.882451941692125e-08,0.009010791778564453,0.025127887725830078
bbob_f001_i01_d02,2,3,sobol,gwo,79.48,79.48000013127958,100,1.312795774310871e-07,0.009010791778564453,0.1151738166809082
bbob_f001_i01_d02,2,3,sobol,egwo,79.48,79.4800000868163,18,8.681629992679518e-08,0.009010791778564453,0.009349584579467773
bbob_f001_i01_d02,2,3,obl,ga,79.48,85.96164004735863,100,6.481640047358624,0.0022056102752685547,0.152634859085083
bbob_f001_i01_d02,2,3,obl,de,79.48,85.66407191840598,100,6.1840719184059765,0.0022056102752685547,0.07010340690612793
bbob_f001_i01_d02,2,3,obl,pso,79.48,80.36296856002582,100,0.8829685600258159,0.0022056102752685547,0.05156087875366211
bbob_f001_i01_d02,2,3,obl,gwo,79.48,79.48000000399523,72,3.995225483777176e-09,0.0022056102752685547,0.08198022842407227
bbob_f001_i01_d02,2,3,obl,egwo,79.48,85.59205321125876,100,6.112053211258754,0.0022056102752685547,0.04864621162414551
bbob_f001_i01_d02,2,3,oblesa_ess,ga,79.48,80.01317382266348,100,0.5331738226634712,3.098602056503296,0.35722899436950684
bbob_f001_i01_d02,2,3,oblesa_ess,de,79.48,79.48001565981309,100,1.5659813087154362e-05,3.098602056503296,0.14589405059814453
bbob_f001_i01_d02,2,3,oblesa_ess,pso,79.48,79.48000008305955,49,8.305954679599381e-08,3.098602056503296,0.055253028869628906
bbob_f001_i01_d02,2,3,oblesa_ess,gwo,79.48,79.48000007091545,72,7.091544773629721e-08,3.098602056503296,0.19912195205688477
bbob_f001_i01_d02,2,3,oblesa_ess,egwo,79.48,79.48000008400635,9,8.400634499139414e-08,3.098602056503296,0.0
bbob_f001_i01_d02,2,3,oblesa_lhs,ga,79.48,79.48247816178153,100,0.0024781617815250456,0.2720935344696045,0.3505733013153076
bbob_f001_i01_d02,2,3,oblesa_lhs,de,79.48,79.48023579968554,100,0.00023579968554088282,0.2720935344696045,0.13696813583374023
bbob_f001_i01_d02,2,3,oblesa_lhs,pso,79.48,79.4800000828313,46,8.283129204755824e-08,0.2720935344696045,0.06437110900878906
bbob_f001_i01_d02,2,3,oblesa_lhs,gwo,79.48,79.48000003770944,67,3.770944090319972e-08,0.2720935344696045,0.17598581314086914
bbob_f001_i01_d02,2,3,oblesa_lhs,egwo,79.48,79.48000002834065,14,2.8340650715108495e-08,0.2720935344696045,0.013059854507446289
bbob_f001_i01_d02,2,3,oblesa_sobol,ga,79.48,79.48221026529673,100,0.002210265296724856,0.0,0.34891486167907715
bbob_f001_i01_d02,2,3,oblesa_sobol,de,79.48,79.48009543020268,100,9.543020267699376e-05,0.0,0.14276838302612305
bbob_f001_i01_d02,2,3,oblesa_sobol,pso,79.48,79.48000003139887,48,3.139886928238411e-08,0.0,0.06548070907592773
bbob_f001_i01_d02,2,3,oblesa_sobol,gwo,79.48,79.48000008458047,80,8.45804635218883e-08,0.0,0.2190546989440918
bbob_f001_i01_d02,2,3,oblesa_sobol,egwo,79.48,79.48000001105767,19,1.1057665005864692e-08,0.0,0.01603078842163086
bbob_f001_i01_d02,2,3,oblesa_sobol,ga,79.48,79.48221026529673,100,0.002210265296724856,0.0,0.38115358352661133
bbob_f001_i01_d02,2,3,oblesa_sobol,de,79.48,79.48067990893959,100,0.0006799089395883584,0.0,0.14247560501098633
